"","OBJECTID","CommonGenus","CommonName","BotanicalGenus","Botanical","OnStreet","Location","ConditionTreeHealth","DBH","Height","LandmarkTree","Place"
"1828",54918,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","S MAIN ST","122 S MAIN ST","Bad","11 - 15","30 - 50","No","Street"
"1829",30659,"linden","linden, littleleaf","Tilia","Tilia cordata","MILLER AVE","109 MILLER AVE","Neutral","0 - 5","11-20","No","Street"
"1830",30573,"lilac","lilac, Japanese tree","Syringa","Syringa reticulata","N ASHLEY ST","200 N ASHLEY ST","Good","0 - 5","11-20","No","Street"
"1831",44590,"maple","maple, silver","Acer","Acer saccharinum","MILLER AVE","514 MILLER AVE","Neutral","21 - 25","51-70","Yes","Street"
"1832",14921,"magnolia","magnolia, saucer","Magnolia","Magnolia x soulangiana","SPRING ST","423 SPRING ST","Neutral","11 - 15","21-30","No","Street"
"1833",56246,"maple","maple, silver","Acer","Acer saccharinum","E WILLIAM ST","400 E WILLIAM ST","Neutral","0 - 5","21-30","No","Street"
"1834",30032,"lilac","lilac, Japanese tree","Syringa","Syringa reticulata","LAWRENCE ST","321 N THAYER ST","Very Good","0 - 5","0 - 10","No","Street"
"1835",30364,"cherry","cherry, flowering","Prunus","Prunus spp.","N STATE ST","515 N STATE ST","Very Good","0 - 5","0 - 10","No","Street"
"1836",53922,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","N FOURTH AVE","203 BEAKES ST","Bad","6 - 10","31-50","No","Street"
"1837",52299,"maple","maple, silver","Acer","Acer saccharinum","YELLOWSTONE DR","3344 YELLOWSTONE DR","Neutral","0 - 5","21-30","No","Street"
"1838",24622,"spruce","spruce, Colorado","Picea","Picea pungens","CREEKBEND CT","1420 CREEKBEND CT","Good","0 - 5","0 - 10","No","Street"
"1839",24610,"maple","maple, Freeman","Acer","Acer x freemanii","CREEKBEND CT","1423 CREEKBEND CT","Good","0 - 5","21-30","No","Street"
"1840",5970,"maple","maple, sugar","Acer","Acer saccharum","W JEFFERSON ST","454 SECOND ST","Good","26 - 30","GT70","Yes","Street"
"1841",30561,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","S ASHLEY ST","123 W WASHINGTON ST","Bad","0 - 5","11-20","No","Street"
"1842",42266,"dogwood","dogwood, Kousa","Cornus","Cornus kousa","CHANDLER RD","1704 CHANDLER RD","Very Good","0 - 5","0 - 10","No","Street"
"1843",41688,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","GREENE ST","3335 WHISPERWOOD DR","Neutral","6 - 10","11-20","No","Street"
"1844",314007,"hornbeam","hornbeam, American","Carpinus","Carpinus caroliniana","ANTIETAM DR","2435 ANTIETAM DR","Very Good","0 - 5","0 - 10","No","Street"
"1845",48672,"maple","maple, Japanese","Acer","Acer palmatum","SUGARBUSH PARK","SUGARBUSH PARK","Neutral","0 - 5","0 - 10","No","Park"
"1846",37606,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","FRIEZE AVE","2005 FRIEZE AVE","Good","11 - 15","51-70","No","Street"
"1847",20294,"arborvitae","arborvitae, eastern","Thuja","Thuja occidentalis","RIVERSIDE PARK","RIVERSIDE PARK","Neutral","0 - 5","21-30","No","Park"
"1848",20331,"maple","maple, red","Acer","Acer rubrum","RIVERSIDE PARK","RIVERSIDE PARK","Neutral","0 - 5","21-30","No","Park"
"1849",43262,"lilac","lilac, Japanese tree","Syringa","Syringa reticulata","WALL ST","951 WALL ST","Very Good","0 - 5","0 - 10","No","Street"
"1851",50873,"maple","maple, sugar","Acer","Acer saccharum","FULLER PARK","FULLER PARK","Good","6 - 10","31-50","No","Park"
"1852",32983,"elm","elm, Siberian","Ulmus","Ulmus pumila","WESTOVER AVE","126 WESTOVER AVE","Neutral","21 - 25","51-70","Yes","Street"
"1853",33315,"hackberry","hackberry, common","Celtis","Celtis occidentalis","JACKSON RD","3450 JACKSON RD","Good","0 - 5","0 - 10","No","Street"
"1854",4015,"horsechestnut","horsechestnut","Aesculus","Aesculus hippocastanum","NEEDHAM RD","2216 NEEDHAM RD","Very Good","0 - 5","0 - 10","No","Street"
"1855",37938,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","WINCHELL DR","2114 WINCHELL DR","Good","6 - 10","31-50","No","Street"
"1856",37643,"maple","maple, sugar","Acer","Acer saccharum","STANLEY AVE","2006 STANLEY AVE","Neutral","16 - 20","51-70","Yes","Street"
"1857",19999,"maple","maple, Amur","Acer","Acer tataricum ginnala","WHEELER PARK","WHEELER PARK","Neutral","0 - 5","21-30","No","Park"
"1858",33020,"maple","maple, sugar","Acer","Acer saccharum","LAKEWOOD DR","3247 LAKEWOOD DR","Neutral","11 - 15","31-50","No","Street"
"1859",18327,"maple","maple, sugar","Acer","Acer saccharum","HAZELWOOD AVE","375 HAZELWOOD AVE","Neutral","21 - 25","51-70","Yes","Street"
"1861",33561,"spruce","spruce, white","Picea","Picea glauca","DOLPH NATURE AREA","DOLPH NATURE AREA","Good","0 - 5","0 - 10","No","Park"
"1862",6671,"zelkova","zelkova, Japanese","Zelkova","Zelkova serrata","E HOOVER AVE","500 E HOOVER AVE","Neutral","11 - 15","31-50","No","Street"
"1863",197385,"lilac","lilac, Japanese tree","Syringa","Syringa reticulata","E HOOVER AVE","121 E HOOVER AVE","Very Good","0 - 5","0 - 10","No","Street"
"1864",44676,"maple","maple, sugar","Acer","Acer saccharum","SUNSET RD","255 SUNSET RD","Bad","16 - 20","31-50","Yes","Street"
"1865",40938,"hornbeam","hornbeam, American","Carpinus","Carpinus caroliniana","BLUETT DR","2981 BLUETT DR","Very Good","0 - 5","0 - 10","No","Street"
"1867",6966,"maple","maple, Norway","Acer","Acer platanoides","DEWEY AVE","716 DEWEY AVE","Neutral","21 - 25","31-50","Yes","Street"
"1868",12708,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","PLACID WAY","2260 PLACID WAY","Good","11 - 15","31-50","No","Street"
"1869",12917,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","TRAVER BLVD","2502 TRAVER BLVD","Neutral","6 - 10","31-50","No","Street"
"1870",339237,"maple","maple, paperbark","Acer","Acer griseum","LAKEHURST LN","2705 LAKEHURST LN","Very Good","0 - 5","0 - 10","No","Street"
"1871",11626,"zelkova","zelkova, Japanese","Zelkova","Zelkova serrata","HICKORY POINT DR","2533 MALLARD CT","Good","6 - 10","21-30","No","Street"
"1872",185778,"serviceberry ","serviceberry, spp.","Amelanchier","Amelanchier spp.","FOXWAY DR","3141 FOXWAY DR","Very Good","0 - 5","0 - 10","No","Street"
"1873",13261,"oak","oak, swamp white","Quercus","Quercus bicolor","HURON PKWY","2851 HURON PKWY","Very Good","0 - 5","0 - 10","No","Street"
"1874",13249,"tuliptree","tuliptree","Liriodendron","Liriodendron tulipifera","HURON PKWY","2851 HURON PKWY","Very Good","0 - 5","0 - 10","No","Street"
"1875",1015,"lilac","lilac, Japanese tree","Syringa","Syringa reticulata","GREEN RD","2001 GREEN RD","Good","0 - 5","0 - 10","No","Street"
